12288,33351
75522,203116
42885,116661
10248,27842
73482,203221
40845,113354
8209,21933
71442,193171
38806,104200
6169,17228
69403,187615
36766,100813
4129,11373
100000,271516
67363,181807
34726,94016
2089,5802
97960,263525
65323,176620
32686,87916
95920,270728
50,198
63283,173229
30646,81858
93880,255004
61243,165371
28607,78594
91840,246622
59204,159431
26567,72931
89801,247967
57164,156935
24527,66200
87761,236291
55124,148498
22487,60832
85721,235699
53084,144250
20447,55719
83681,227166
51044,138404
18408,50143
81641,223584
49005,131835
16368,44304
79602,215671
46965,126072
14328,38305
77562,211277
44925,122580
