12288,40585
75522,244212
42885,143268
10248,34356
73482,237439
40845,154767
8209,27643
71442,242350
38806,149244
6169,21634
69403,226188
36766,124442
4129,14727
100000,374232
67363,219014
34726,149808
2089,7349
97960,383216
65323,211602
32686,123523
95920,352296
50,284
63283,205064
30646,108941
93880,409777
61243,199272
28607,109574
91840,325822
59204,191720
26567,94274
89801,317103
57164,185327
24527,82191
87761,307774
55124,238555
22487,75232
85721,298726
53084,172462
20447,67384
83681,280425
51044,165788
18408,61823
81641,273321
49005,158844
16368,53656
79602,264574
46965,163634
14328,47147
77562,258045
44925,179236
