2050,523177.766667
34050,13479789.100000
12550,4165615.166667
44550,17793206.666667
23050,8576491.633333
1550,378188.433333
33550,13301579.433333
12050,3978304.466667
44050,18377399.633333
22550,8261507.500000
1050,245435.933333
33050,12853925.700000
11550,3737751.200000
43550,17554883.500000
22050,8181181.000000
550,116316.766667
32550,12533311.966667
11050,3690026.500000
43050,17722415.966667
21550,8098739.166667
50,8062.333333
32050,12258278.366667
10550,3395921.266667
42550,17559790.333333
21050,7210062.400000
31550,12325653.133333
10050,3212253.266667
42050,17467906.166667
20550,7119248.633333
31050,12086611.233333
9550,3236384.300000
41550,16902735.733333
20050,7186608.400000
30550,11684721.266667
9050,2999686.933333
41050,16971558.400000
19550,7001550.500000
30050,11578328.500000
8550,2750232.300000
40550,16799331.400000
19050,6951317.766667
29550,11678234.833333
8050,2574597.833333
40050,16029531.133333
18550,6443763.200000
29050,10825467.133333
7550,2449664.600000
39550,15959168.666667
18050,6413928.366667
28550,11188350.233333
7050,2197871.500000
39050,15281055.833333
17550,6119146.333333
49550,21345474.133333
28050,10594767.300000
6550,2057760.533333
38550,15648808.633333
17050,6017010.866667
49050,21025986.066667
27550,10187968.633333
6050,1862749.333333
38050,15353854.666667
16550,5688880.366667
48550,20553673.600000
27050,10915523.866667
5550,1645774.666667
37550,14263610.100000
16050,5477823.133333
48050,20011012.233333
26550,9835758.366667
5050,1527119.833333
37050,14961929.300000
15550,5264818.100000
47550,20467262.033333
26050,9227250.100000
4550,1313196.333333
36550,15729272.433333
15050,5505382.466667
47050,20186326.700000
25550,9454607.700000
4050,1169697.833333
36050,14545091.500000
14550,4931482.900000
46550,19113614.700000
25050,9378266.933333
3550,1006847.566667
35550,13682643.666667
14050,4820751.333333
46050,18901431.633333
24550,8950586.400000
3050,842515.666667
35050,14577492.533333
13550,4559694.433333
45550,17960093.400000
24050,8752811.166667
2550,707479.633333
34550,13538528.333333
13050,4321764.433333
45050,18047714.033333
23550,8299913.133333
